25894.24,22.29922,112.53891,23600,436.6,227.1,0,0,,adsb_icao,25050,0,300,-0.2
25914.07,22.271754,112.507019,23600,435.9,227.2,0,0,,adsb_icao,25050,0,300,-0.3
25933.13,22.245592,112.476603,23600,436.6,227.3,0,0,,adsb_icao,25050,32,299,0
25946.08,22.227859,112.455905,23600,436.6,227.3,0,0,[Record],adsb_icao,25050,0,299,-0.2
25958.53,22.210585,112.43576,23600,436,227.4,0,0,,adsb_icao,25050,0,299,-0.3
25973.66,22.190277,112.412109,23600,435.9,227.2,1,0,,adsb_icao,25050,0,299,-0.2
25993.09,22.163381,112.38088,23600,435.9,227.2,0,0,,adsb_icao,25050,-32,299,-0.2
26002.44,22.150393,112.365875,23600,436.6,227.1,0,0,[Record],adsb_icao,25050,0,299,0.2
26024.38,22.120506,112.331034,23600,436.7,227.5,1,0,,adsb_icao,25050,0,299,0
26041.31,22.097323,112.303975,23600,437.4,227.4,0,0,,adsb_icao,25050,-32,299,-0.2
26058.15,22.073954,112.276815,23600,437.3,227.2,0,0,,adsb_icao,25050,32,299,-0.3
26067.31,22.061664,112.262573,23600,438,227.1,0,0,[Record],adsb_icao,25050,0,299,-0.2
26082.38,22.040576,112.23821,23600,438,227.1,1,0,,adsb_icao,25050,0,299,0
26101.18,22.014693,112.208201,23600,438,227.1,1,64,,adsb_icao,25050,0,299,0
26118.49,21.990555,112.180298,23600,438,227.1,0,64,,adsb_icao,25050,,,
26136.83,21.965057,112.150785,23600,438.7,227.2,0,0,[Record],adsb_icao,25050,,,0
26153.57,21.942025,112.124125,23600,438.7,227.2,0,0,,adsb_icao,25050,,,0
26170.63,21.918457,112.096802,23600,438.7,227.2,0,0,,adsb_icao,25050,,,0
82001.53,40.225204,116.524109,5250,257,269.1,3,2816,,adsb_icao,5700,,,-12.1
82003.34,40.225067,116.520935,5350,256.3,267.3,0,2944,[Record],adsb_icao,5800,,,-12.1
82005.81,40.224811,116.517563,5450,256.6,266.2,0,2880,,adsb_icao,5875,2944,251,-6.5
82007.68,40.224578,116.514317,5550,255.9,265.1,0,2816,,adsb_icao,5975,2880,251,-6.3
82010.27,40.224299,116.511071,5650,256.4,264,0,2688,,adsb_icao,6100,2688,251,-7.7
82012.47,40.223923,116.507263,5750,257,262.9,0,2688,[Record],adsb_icao,6175,2656,251,-8.4
82014.24,40.223601,116.504267,5850,256.7,261.7,0,2752,,adsb_icao,6275,2720,252,-7.9
82016.49,40.223135,116.500896,5950,256.5,260.6,0,2880,,adsb_icao,6325,2848,252,-8.8
82018.43,40.22267,116.4979,6050,256.3,259.4,0,2944,,adsb_icao,6425,2944,253,-9.1
82020.55,40.222158,116.494966,6125,256.5,258.1,0,3008,[Record],adsb_icao,6550,2976,253,-8.8
82022.09,40.22168,116.492493,6225,256.6,256.9,0,3072,,adsb_icao,6625,3040,253,-8.1
82024.08,40.22113,116.489685,6325,256.4,256.2,0,3072,,adsb_icao,6725,3104,252,-7.2
82026.02,40.220482,116.486726,6425,256.4,255.3,0,3136,,adsb_icao,6800,3104,252,-5.6
82027.75,40.219877,116.483917,6525,255.5,254.3,0,3072,[Record],adsb_icao,6900,3104,252,-1.4
82029.69,40.219254,116.481201,6600,255.1,253.8,0,3072,,adsb_icao,6975,3072,251,-0.5
82031.27,40.218713,116.478799,6700,255.4,253.6,0,3008,,adsb_icao,7100,3040,251,-0.3
82033.07,40.218109,116.476074,6775,255.4,253.6,0,3008,,adsb_icao,7175,3008,251,0.2
82034.65,40.217596,116.473742,6875,255.1,253.8,0,3008,[Record],adsb_icao,7225,3008,251,0.2
82037.08,40.216804,116.470184,6975,255.1,253.8,0,3008,,adsb_icao,7375,3008,251,-0.9
82041.02,40.215637,116.464905,7175,255.1,253.8,0,3008,,adsb_icao,7550,3008,250,-1
82044.7,40.214244,116.458823,7375,255.6,253.4,0,2880,,adsb_icao,7725,2912,249,-0.7
82049,40.212801,116.452581,7550,256.9,253.3,0,2688,[Record],adsb_icao,7925,2720,248,-0.3
82053.11,40.211404,116.446401,7750,257.8,253.3,0,2560,,adsb_icao,8125,2528,247,-0.3
82057.92,40.209732,116.439087,7950,258.8,253.4,0,2496,,adsb_icao,8325,2496,248,-0.3
82063.06,40.207993,116.431519,8150,261,253.3,0,2752,,adsb_icao,8475,2656,250,-0.2
82067.16,40.206563,116.425303,8350,261,253.3,0,2880,[Record],adsb_icao,8700,2848,250,-0.2
82071.78,40.20498,116.418499,8550,262,253.4,0,2752,,adsb_icao,8875,2752,250,0
82075.43,40.203676,116.412818,8725,262.9,253.4,0,2688,,adsb_icao,9050,2688,251,-0.3
82079.98,40.202094,116.405827,8925,264.2,253.3,0,2560,,adsb_icao,9250,2528,249,-0.5
82084.89,40.200325,116.398149,9125,266.1,253.4,0,2496,[Record],adsb_icao,9450,2464,251,-0.5
82089.52,40.1987,116.39093,9325,267.3,253.3,0,2688,,adsb_icao,9625,2656,250,-0.5
82093.83,40.197189,116.384338,9500,268.6,253.1,0,2368,,adsb_icao,9800,2432,248,-0.3
82098.85,40.195312,116.376343,9700,271.7,253.1,0,2368,,adsb_icao,9950,2304,249,-0.3
82103.86,40.193528,116.368686,9900,273.7,253.2,0,2752,[Record],adsb_icao,10200,2656,252,-0.3
82108.02,40.192038,116.362069,10100,273.7,253.2,0,3136,,adsb_icao,10400,3136,254,-0.3
82111.47,40.190735,116.356506,10300,273.7,253.2,0,3328,,adsb_icao,10575,3200,255,-0.3
82115.06,40.189431,116.350833,10500,272.7,253.2,0,3008,,adsb_icao,10800,3296,253,-0.5
82116.7,40.188873,116.348398,10550,273.7,253.2,0,2560,[Record],adsb_icao,10825,2592,252,-0.3
82117.98,40.188354,116.346252,10625,273.7,253.2,0,2304,,adsb_icao,10900,2464,252,-0.3
82119.5,40.187759,116.343689,10675,274.9,253.1,0,1856,,adsb_icao,10950,2464,252,-0.5
82121.62,40.187027,116.340393,10725,276.8,253.2,0,1408,,adsb_icao,11000,1536,254,-0.3
82123.59,40.186312,116.33735,10750,279,253.1,0,960,[Record],adsb_icao,11025,1536,254,-0.5
82130.64,40.183566,116.325489,10875,288.2,253.3,0,1280,,adsb_icao,11150,1312,264,-0.3
82138.19,40.180586,116.312381,11050,297.4,253.4,0,1536,,adsb_icao,11325,1504,269,-0.5
82145.32,40.177793,116.300208,11250,303.7,253.4,0,1600,,adsb_icao,11500,1600,273,-0.5
82152.81,40.174674,116.286663,11450,311.3,253.2,0,1664,[Record],adsb_icao,11700,1632,279,-0.5
82159.97,40.171742,116.273929,11650,317.3,253.3,0,1664,,adsb_icao,11925,1696,284,-0.5
82166.95,40.168716,116.260742,11850,321.7,253.2,0,1664,,adsb_icao,12100,1664,286,-0.5
82179.11,40.163406,116.237732,12175,331.2,253.1,0,1600,,adsb_icao,12400,1632,290,-0.5
82191.84,40.15773,116.213257,12500,337.3,253.3,0,1536,[Record],adsb_icao,12775,1536,296,-0.5
82204.32,40.152097,116.188785,12825,338.5,253.2,0,1472,,adsb_icao,13075,1472,296,-0.3
82210.89,40.149078,116.175659,13000,340.4,253.3,0,1856,,adsb_icao,13250,1632,299,-0.3
82214.08,40.147627,116.169434,13125,341.4,253.3,0,2304,,adsb_icao,13375,2240,299,-0.3
82218.73,40.145599,116.160645,13300,341.4,253.3,0,2752,[Record],adsb_icao,13525,2656,298,-0.5
82222.44,40.14381,116.152829,13500,342.3,253.4,0,3200,,adsb_icao,13725,3072,300,-0.3
82229.38,40.140656,116.139221,13900,342.6,253.2,0,3136,,adsb_icao,14100,3168,296,-0.3
82237.44,40.136993,116.123291,14275,344.5,253.3,0,2944,,adsb_icao,14500,2912,297,-0.3
82244.7,40.133606,116.108643,14675,344.5,253.3,0,3328,[Record],adsb_icao,14875,3360,298,-0.3
82252.09,40.13031,116.094238,15075,344.5,253.3,0,3264,,adsb_icao,15275,3264,297,-0.2
82260.12,40.126586,116.078047,15475,345.5,253.4,0,2880,,adsb_icao,15675,2880,296,-0.3
82268.4,40.122722,116.061256,15875,347.7,253.3,0,2752,,adsb_icao,16075,2784,296,-0.3
82276.65,40.118912,116.0448,16275,348.6,253.3,0,3008,[Record],adsb_icao,16425,3008,298,-0.7
82284.83,40.115112,116.02832,16675,348.9,253.2,0,2944,,adsb_icao,16850,2944,298,-0.3
82289.18,40.113086,116.019558,16875,349.9,253.2,0,2496,,adsb_icao,17075,2496,298,-0.5
82295.82,40.110013,116.006262,17150,352.1,253.2,0,2944,,adsb_icao,17350,2944,299,-0.5
82303.55,40.106277,115.990234,17550,351.1,253.1,0,2560,[Record],adsb_icao,17725,2624,295,-0.3
82312.98,40.101837,115.971191,17950,354.3,253.1,0,2688,,adsb_icao,18175,2656,295,-0.2
82322.4,40.097351,115.952026,18350,355.3,253.1,0,2496,,adsb_icao,18525,2528,296,-0.3
82331.96,40.092742,115.932104,18750,357.5,253.1,0,2432,,adsb_icao,18975,2400,295,-0.3
82342.06,40.087875,115.911438,19150,359.7,253,0,2496,[Record],adsb_icao,19375,2496,297,-0.5
82348.88,40.084596,115.89721,19425,361.6,253.1,0,2048,,adsb_icao,19650,2048,297,-0.3
82352.49,40.082827,115.889719,19525,362.8,253,0,1600,,adsb_icao,19750,1568,297,-0.3
82356.01,40.0811,115.882263,19600,363.8,253.1,0,1152,,adsb_icao,19850,1184,297,-0.3
82360.01,40.079086,115.873596,19650,364.7,253.1,0,704,[Record],adsb_icao,19900,768,297,-0.3
82364.71,40.076797,115.863953,19700,365.7,253.1,0,256,,adsb_icao,19950,288,298,-0.3
82384.57,40.067046,115.821991,19700,366.7,253.2,0,0,,adsb_icao,19950,0,298,-0.3
82404.19,40.057388,115.780457,19700,366,253,0,0,,adsb_icao,19950,0,297,-0.3
82423.71,40.047729,115.73938,19725,366,253,0,256,[Record],adsb_icao,19975,256,297,-0.3
82431.86,40.043701,115.722229,19775,368.2,252.9,0,704,,adsb_icao,20025,736,298,-0.3
82435.76,40.041675,115.713813,19850,368.2,252.9,0,1152,,adsb_icao,20100,1088,298,-0.3
82439,40.040138,115.707134,19925,369.2,253,0,1600,,adsb_icao,20175,1312,299,-0.3
82441.95,40.038649,115.700829,20000,369.2,253,0,2048,[Record],adsb_icao,20225,1920,299,-0.3
82445.64,40.036789,115.693054,20150,368.2,252.9,0,2496,,adsb_icao,20375,2432,299,-0.3
82454.09,40.032504,115.675049,20550,367.2,252.9,0,2816,,adsb_icao,20800,2848,298,-0.3
82463.73,40.027863,115.655334,20950,368.2,252.9,0,2624,,adsb_icao,21175,2624,298,-0.3
82473.45,40.022827,115.634094,21350,369.4,252.8,0,2304,[Record],adsb_icao,21550,2208,298,-0.3
82483.87,40.0177,115.612305,21750,370.4,252.9,0,2432,,adsb_icao,22000,2464,296,-0.2
82493.71,40.012619,115.59082,22150,371.4,252.9,0,2432,,adsb_icao,22400,2400,297,-0.3
82503.84,40.007598,115.569555,22550,371.4,252.9,0,2304,,adsb_icao,22800,2336,296,-0.3
82514.19,40.002319,115.547058,22950,372.3,253,0,2240,[Record],adsb_icao,23225,2176,296,-0.3
82525,39.996891,115.523924,23350,373.3,253,0,2112,,adsb_icao,23625,2144,297,0
82533.13,39.993027,115.506226,23625,373.3,255.3,0,2112,,adsb_icao,23900,2080,297,10.6
82539.12,39.990829,115.492859,23850,372.4,258.5,0,2240,,adsb_icao,24100,2272,297,9.5
82545.59,39.989164,115.478793,24100,371.1,261.5,0,2112,[Record],adsb_icao,24375,2176,296,9.3
82551.61,39.988083,115.465393,24300,370.8,264.4,0,1984,,adsb_icao,24550,1952,296,9.5
82557.73,39.987534,115.451782,24500,370.4,267.4,0,2048,,adsb_icao,24775,2016,295,9.3
82563.67,39.987534,115.438965,24700,370,270.3,0,1984,,adsb_icao,24975,1984,295,9.3
82569.89,39.988093,115.42486,24900,369.6,273.3,0,1984,[Record],adsb_icao,25175,1952,295,6
82576.38,39.988838,115.410565,25125,370.8,273.9,0,2368,,adsb_icao,25400,2400,295,-1
82580.52,39.989257,115.401951,25300,369.8,273.7,0,2816,,adsb_icao,25600,2848,295,-0.3
82588.41,39.990097,115.384033,25700,366.7,273.6,0,2944,,adsb_icao,26000,2944,293,-0.2
82596.17,39.990979,115.366558,26100,364.7,273.6,0,2944,[Record],adsb_icao,26375,2976,291,-0.2
82604.6,39.991837,115.348511,26500,361.7,273.6,0,2880,,adsb_icao,26775,2880,287,0
82613.56,39.992841,115.329479,26900,358.8,273.8,0,2432,,adsb_icao,27200,2496,282,-0.3
82624.35,39.994005,115.306008,27300,358.7,273.7,0,2176,,adsb_icao,27600,2208,280,-0.2
82628.42,39.994446,115.29718,27425,358.7,273.7,0,1728,[Record],adsb_icao,27725,1696,280,0
82631.67,39.994812,115.290039,27500,358.7,273.7,0,1280,,adsb_icao,27825,1376,280,0
82635.2,39.995178,115.282715,27575,359.7,273.7,0,832,,adsb_icao,27900,832,281,-0.2
82639.1,39.99559,115.274536,27600,361.8,273.8,0,384,,adsb_icao,27925,352,282,-0.3
82657.61,39.997696,115.233582,27625,370.8,273.7,0,0,[Record],adsb_icao,27950,0,288,-0.2
82677.51,39.999985,115.189026,27600,379.8,273.8,0,0,,adsb_icao,27925,0,294,-0.2
82696.93,40.002365,115.143494,27600,383.9,273.9,0,0,,adsb_icao,27925,-32,297,-0.2
82716.54,40.004712,115.098267,27600,384.9,273.9,0,0,,adsb_icao,27925,0,296,-0.3
82736.07,40.006993,115.053198,27600,385.8,273.7,0,0,[Record],adsb_icao,27925,-32,297,-0.3
82755.87,40.009186,115.007751,27600,385.7,273.6,0,0,,adsb_icao,27925,-32,296,0
82775.7,40.011416,114.961936,27600,385.8,273.7,0,0,,adsb_icao,27925,0,296,-0.2
82795.66,40.013697,114.915432,27600,386.8,273.7,0,0,,adsb_icao,27925,32,297,-0.3
82815.39,40.015978,114.869614,27600,386.8,273.7,0,0,[Record],adsb_icao,27925,0,297,-0.5
82834.82,40.018119,114.824108,27600,387.7,273.5,0,0,,adsb_icao,27925,0,297,-0.3
82854.48,40.020264,114.778442,27600,388.7,273.4,0,0,,adsb_icao,27925,0,298,-0.2
82874.24,40.022355,114.732409,27600,388.7,273.4,0,0,,adsb_icao,27925,0,299,-0.2
82893.84,40.024475,114.686646,27600,388.7,273.4,0,0,[Record],adsb_icao,27925,32,299,-0.3
82913.79,40.026581,114.639771,27600,389.7,273.4,0,0,,adsb_icao,27925,0,299,-0.2
82932.79,40.02864,114.595268,27600,389.7,273.4,0,0,,adsb_icao,27925,0,300,-0.2
82952.59,40.030701,114.549255,27600,389.7,273.4,0,0,,adsb_icao,27925,0,299,-0.2
82972.51,40.03283,114.502383,27600,388.7,273.4,0,0,[Record],adsb_icao,27925,0,300,-0.2
82992.06,40.034866,114.456848,27600,388.7,273.4,0,0,,adsb_icao,27925,-32,300,-0.2
83011.6,40.03688,114.411377,27600,388.6,273.2,0,0,,adsb_icao,27925,32,299,-0.3
83031.14,40.038881,114.365803,27600,387.6,273.2,0,0,,adsb_icao,27925,0,299,-0.2
83050.91,40.040883,114.319423,27600,387.6,273.2,0,0,[Record],adsb_icao,27925,0,298,-0.3
83070.49,40.042831,114.274048,27600,387.6,273.1,0,0,,adsb_icao,27925,0,298,-0.2
83090.26,40.044754,114.228333,27600,387.6,273.1,0,0,,adsb_icao,27925,0,298,-0.2
83109.96,40.046722,114.182495,27600,387.6,273.1,0,0,,adsb_icao,27925,0,298,-0.3
83128.61,40.048645,114.138733,27600,386.9,274,0,0,[Record],adsb_icao,27925,0,298,6.9
83141.94,40.050888,114.107727,27600,387.8,275.5,0,0,,adsb_icao,27925,0,298,0
83161.78,40.05429,114.062243,27600,387.9,275.6,0,0,,adsb_icao,27925,0,298,0
83171.04,40.05592,114.040021,27600,387.9,275.6,0,0,,adsb_icao,27925,0,298,-0.3
83191,40.059364,113.993953,27600,387.8,275.5,0,0,[Record],adsb_icao,27925,0,298,-0.2
83210.55,40.062716,113.94826,27600,387.7,275.3,0,0,,adsb_icao,27925,0,297,-0.2
83230.44,40.06604,113.901917,27600,387.8,275.5,0,0,,adsb_icao,27925,0,297,-0.2
83250.23,40.069382,113.856323,27600,388.8,275.5,0,0,,adsb_icao,27925,0,297,0
